#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  98000      1.96e+01    7.69e+00      4.71e-02    5.39e-02      1.96e-01    7.69e-02    3.9e-05
  99000      1.32e+01    3.44e+01      1.84e-01    1.63e-01      1.32e-01    3.44e-01    3.9e-05
 100000      1.17e+01    5.91e+00      3.08e-03    1.42e-02      1.17e-01    5.91e-02    3.3e-05
 101000      9.25e+00    4.95e+00      2.92e-04    1.45e-03      9.25e-02    4.95e-02    3.3e-05
 102000      1.24e+01    1.48e+01      1.61e-03    2.79e-03      1.24e-01    1.48e-01    3.3e-05
 103000      1.87e+01    1.92e+01      2.07e-03    1.62e-02      1.87e-01    1.92e-01    3.3e-05
 104000      1.07e+01    1.26e+01      1.53e-02    1.85e-02      1.07e-01    1.26e-01    3.3e-05
 105000      2.55e+01    3.35e+01      1.59e-02    1.77e-02      2.55e-01    3.35e-01    2.8e-05
 106000      2.02e+01    1.19e+01      1.98e-02    1.22e-02      2.02e-01    1.19e-01    2.8e-05
 107000      1.33e+01    4.84e+01      2.77e-02    1.32e-01      1.33e-01    4.84e-01    2.8e-05
 108000      1.61e+01    9.71e+00      3.88e-02    4.51e-02      1.61e-01    9.71e-02    2.8e-05
 109000      1.14e+01    2.45e+01      1.61e-02    2.20e-02      1.14e-01    2.45e-01    2.8e-05
 110000      1.53e+01    2.22e+01      4.57e-03    3.15e-03      1.53e-01    2.22e-01    2.3e-05
 111000      8.98e+00    1.89e+01      4.32e-03    2.51e-02      8.98e-02    1.89e-01    2.3e-05
 112000      3.08e+01    1.87e+01      2.06e-02    6.62e-03      3.08e-01    1.87e-01    2.3e-05
 113000      1.42e+01    1.10e+01      1.22e-02    2.72e-02      1.42e-01    1.10e-01    2.3e-05
 114000      1.29e+01    1.14e+01      4.56e-03    2.47e-03      1.29e-01    1.14e-01    2.3e-05
 115000      3.22e+01    5.40e+00      6.72e-04    1.52e-02      3.22e-01    5.40e-02    2.0e-05
 116000      1.00e+01    1.71e+01      3.87e-02    1.12e-02      1.00e-01    1.71e-01    2.0e-05
 117000      4.49e+01    1.94e+01      2.33e-03    1.52e-03      4.49e-01    1.94e-01    2.0e-05
 118000      1.35e+01    1.11e+01      3.43e-02    3.62e-03      1.35e-01    1.11e-01    2.0e-05
 119000      1.80e+01    1.26e+01      1.03e-02    8.28e-03      1.80e-01    1.26e-01    2.0e-05
 120000      3.03e+01    1.83e+01      3.21e-02    3.12e-02      3.03e-01    1.83e-01    1.7e-05
 121000      3.59e+01    1.36e+01      5.21e-03    3.99e-02      3.59e-01    1.36e-01    1.7e-05
 122000      1.79e+01    3.11e+01      2.10e-02    1.34e-02      1.79e-01    3.11e-01    1.7e-05
 123000      4.36e+01    4.58e+01      2.32e-02    3.14e-02      4.36e-01    4.58e-01    1.7e-05
 124000      2.09e+01    1.50e+01      1.93e-02    3.15e-02      2.09e-01    1.50e-01    1.7e-05
 125000      1.34e+01    8.54e+00      8.08e-03    3.07e-03      1.34e-01    8.54e-02    1.4e-05
 126000      1.12e+01    1.08e+01      9.24e-03    2.16e-02      1.12e-01    1.08e-01    1.4e-05
 127000      2.00e+01    2.26e+01      1.06e-02    1.27e-02      2.00e-01    2.26e-01    1.4e-05
 128000      1.79e+01    2.24e+01      9.26e-03    3.28e-02      1.79e-01    2.24e-01    1.4e-05
 129000      1.63e+01    1.25e+01      1.57e-02    1.20e-02      1.63e-01    1.25e-01    1.4e-05
 130000      2.50e+01    2.38e+01      2.84e-02    2.99e-02      2.50e-01    2.38e-01    1.2e-05
 131000      1.78e+01    2.15e+01      7.09e-03    1.36e-02      1.78e-01    2.15e-01    1.2e-05
 132000      7.44e+00    3.90e+01      5.39e-02    1.18e-02      7.44e-02    3.90e-01    1.2e-05
 133000      1.87e+01    1.21e+01      6.64e-03    4.04e-02      1.87e-01    1.21e-01    1.2e-05
 134000      9.19e+00    1.60e+01      1.93e-02    3.45e-03      9.19e-02    1.60e-01    1.2e-05
 135000      1.20e+01    1.17e+01      8.65e-03    3.86e-02      1.20e-01    1.17e-01    9.9e-06
