#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  92000      1.75e+01    8.21e+00      6.04e-02    3.02e-02      1.75e-01    8.21e-02    4.6e-05
  93000      6.98e+00    1.89e+01      9.07e-02    6.08e-02      6.98e-02    1.89e-01    4.6e-05
  94000      2.33e+01    2.07e+01      2.53e-02    6.37e-02      2.33e-01    2.07e-01    4.6e-05
  95000      2.24e+01    1.79e+01      2.68e-02    4.31e-02      2.24e-01    1.79e-01    3.9e-05
  96000      7.06e+00    3.44e+01      2.87e-02    3.31e-02      7.06e-02    3.44e-01    3.9e-05
  97000      1.19e+01    2.55e+01      2.63e-02    9.12e-03      1.19e-01    2.55e-01    3.9e-05
  98000      9.54e+00    1.83e+01      3.69e-02    2.61e-01      9.54e-02    1.83e-01    3.9e-05
  99000      1.37e+01    2.30e+01      8.05e-02    5.39e-05      1.37e-01    2.30e-01    3.9e-05
 100000      2.40e+01    1.61e+01      5.08e-02    8.86e-02      2.40e-01    1.61e-01    3.3e-05
 101000      6.99e+00    2.54e+01      2.33e-02    1.23e-02      6.99e-02    2.54e-01    3.3e-05
 102000      6.27e+00    1.58e+01      9.03e-02    4.09e-03      6.27e-02    1.58e-01    3.3e-05
 103000      4.25e+01    2.05e+01      1.00e+00    1.84e-02      4.25e-01    2.05e-01    3.3e-05
 104000      1.67e+01    5.68e+00      6.83e-03    1.67e-02      1.67e-01    5.68e-02    3.3e-05
 105000      2.35e+01    2.67e+01      1.27e-02    8.41e-03      2.35e-01    2.67e-01    2.8e-05
 106000      9.74e+00    1.05e+01      1.96e-02    2.03e-02      9.74e-02    1.05e-01    2.8e-05
 107000      4.13e+00    5.89e+00      3.53e-02    4.14e-02      4.13e-02    5.89e-02    2.8e-05
 108000      1.33e+01    1.37e+01      1.82e-02    9.95e-03      1.33e-01    1.37e-01    2.8e-05
 109000      1.35e+01    1.26e+01      1.83e-02    9.92e-03      1.35e-01    1.26e-01    2.8e-05
 110000      3.67e+01    1.88e+01      1.73e-02    3.99e-02      3.67e-01    1.88e-01    2.3e-05
 111000      1.49e+01    2.36e+01      2.76e-02    2.87e-02      1.49e-01    2.36e-01    2.3e-05
