#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 142000      6.96e+00    7.26e+00      3.59e-02    2.20e-02      6.96e-02    7.26e-02    8.3e-06
 143000      1.41e+01    2.46e+01      8.89e-03    2.53e-02      1.41e-01    2.46e-01    8.3e-06
 144000      2.16e+01    1.27e+01      1.95e-02    1.19e-02      2.16e-01    1.27e-01    8.3e-06
 145000      1.30e+01    2.21e+01      9.27e-03    3.59e-02      1.30e-01    2.21e-01    7.0e-06
 146000      2.21e+01    1.69e+01      2.24e-02    7.45e-03      2.21e-01    1.69e-01    7.0e-06
 147000      2.59e+01    8.10e+00      2.34e-02    3.12e-02      2.59e-01    8.10e-02    7.0e-06
 148000      1.74e+01    1.50e+01      6.78e-03    1.54e-02      1.74e-01    1.50e-01    7.0e-06
 149000      2.10e+01    1.63e+01      3.44e-02    1.62e-02      2.10e-01    1.63e-01    7.0e-06
 150000      1.26e+01    1.50e+01      1.73e-02    1.62e-02      1.26e-01    1.50e-01    5.9e-06
 151000      1.55e+01    9.92e+00      3.72e-03    1.57e-02      1.55e-01    9.92e-02    5.9e-06
 152000      2.43e+01    1.55e+01      3.79e-02    5.86e-03      2.43e-01    1.55e-01    5.9e-06
 153000      1.44e+01    1.05e+01      1.23e-02    5.02e-03      1.44e-01    1.05e-01    5.9e-06
 154000      1.19e+01    1.07e+01      9.14e-03    2.85e-02      1.19e-01    1.07e-01    5.9e-06
 155000      1.19e+01    1.18e+01      3.00e-03    1.35e-02      1.19e-01    1.18e-01    5.0e-06
 156000      3.43e+01    7.71e+00      4.35e-03    8.52e-04      3.43e-01    7.71e-02    5.0e-06
 157000      1.33e+01    9.69e+00      2.55e-02    1.39e-02      1.33e-01    9.69e-02    5.0e-06
 158000      1.37e+01    1.73e+01      1.93e-02    3.73e-03      1.37e-01    1.73e-01    5.0e-06
 159000      2.78e+01    1.71e+01      1.65e-02    2.15e-02      2.78e-01    1.71e-01    5.0e-06
 160000      2.11e+01    1.04e+01      2.79e-02    2.22e-02      2.11e-01    1.04e-01    4.2e-06
 161000      1.38e+01    1.66e+01      1.34e-02    3.45e-02      1.38e-01    1.66e-01    4.2e-06
 162000      1.37e+01    3.27e+01      1.84e-02    2.49e-02      1.37e-01    3.27e-01    4.2e-06
 163000      1.91e+01    5.82e+00      2.70e-02    4.94e-03      1.91e-01    5.82e-02    4.2e-06
 164000      2.47e+01    2.02e+01      4.24e-03    2.32e-02      2.47e-01    2.02e-01    4.2e-06
 165000      1.68e+01    1.32e+01      2.14e-03    2.82e-03      1.68e-01    1.32e-01    3.5e-06
 166000      2.52e+01    2.24e+01      4.62e-02    4.83e-04      2.52e-01    2.24e-01    3.5e-06
 167000      8.15e+00    1.15e+01      2.89e-02    1.12e-02      8.15e-02    1.15e-01    3.5e-06
 168000      9.46e+00    7.03e+00      3.17e-02    2.93e-02      9.46e-02    7.03e-02    3.5e-06
 169000      2.00e+01    3.99e+00      2.03e-02    9.06e-03      2.00e-01    3.99e-02    3.5e-06
 170000      6.37e+00    2.75e+01      3.09e-02    1.45e-02      6.37e-02    2.75e-01    3.0e-06
 171000      9.44e+00    1.62e+01      1.29e-02    1.46e-02      9.44e-02    1.62e-01    3.0e-06
 172000      8.48e+00    1.99e+01      2.96e-02    7.88e-03      8.48e-02    1.99e-01    3.0e-06
 173000      1.58e+01    1.39e+01      1.06e-02    6.77e-03      1.58e-01    1.39e-01    3.0e-06
 174000      1.82e+01    1.22e+01      2.37e-02    2.46e-02      1.82e-01    1.22e-01    3.0e-06
